RespondentID	Gender	Age	State	Education	ConditionGroup	Pers1	Pers2	Pers3	Pers4	Pers5	Pers6	Pers7	Pers8	Pers9	Pers10	CC.PRE.OP	CC.IN.COND	CC.EX.COND	CC.IN.SUM	CC.EX.SUM	CC.IN.OP1	CC.IN.OP2	CC.IN.OP3	CC.IN.OP4	CC.IN.OP5	CC.IN.OP6	CC.EX.OP1	CC.EX.OP2	CC.EX.OP3	CC.EX.OP4	CC.EX.OP5	CC.EX.OP6	CC.Speaker	CC.SPEAKER.ATT	CC.FRIEND	CC.ATT.SUM	CC.PAIN.IN	CC.PAIN.EX	CC.TREAT.SUM	CC.QUOTE	CC.QUOTE.AGR	CC.Condition	CC.QUOTE.POL	CC.DIR	CC.Order	VA.PRE.OP	VA.IN.COND	VA.EX.COND	VA.IN.SUM	VA.EX.SUM	VA.IN.OP1	VA.IN.OP2	VA.IN.OP3	VA.IN.OP4	VA.IN.OP5	VA.IN.OP6	VA.IN.OP7	VA.IN.OP8	VA.EX.OP1	VA.EX.OP2	VA.EX.OP3	VA.EX.OP4	VA.EX.OP5	VA.EX.OP6	VA.EX.OP7	VA.EX.OP8	VA.Speaker	VA.SPEAKER.ATT	VA.FRIEND	VA.ATT.SUM	VA.PAIN.IN	VA.PAIN.EX	VA.TREAT.SUM	VA.QUOTE	VA.QUOTE.AGR	VA.Condition	VA.QUOTE.POL	VA.DIR	VA.Order	IM.PRE.OP	IM.IN.COND	IM.EX.COND	IM.IN.SUM	IM.EX.SUM	IM.IN.OP1	IM.IN.OP2	IM.IN.OP3	IM.IN.OP4	IM.IN.OP5	IM.EX.OP1	IM.EX.OP2	IM.EX.OP3	IM.EX.OP4	IM.EX.OP5	IM.Speaker	IM.SPEAKER.ATT	IM.FRIEND	IM.ATT.SUM	IM.PAIN.IN	IM.PAIN.EX	IM.TREAT.SUM	IM.QUOTE	IM.QUOTE.AGR	IM.Condition	IM.QUOTE.POL	IM.DIR	IM.Order	AB.PRE.OP	AB.IN.COND	AB.EX.COND	AB.IN.SUM	AB.EX.SUM	AB.IN.OP1	AB.IN.OP2	AB.IN.OP3	AB.IN.OP4	AB.IN.OP5	AB.IN.OP6	AB.IN.OP7	AB.IN.OP8	AB.IN.OP9	AB.EX.OP1	AB.EX.OP2	AB.EX.OP3	AB.EX.OP4	AB.EX.OP5	AB.EX.OP6	AB.EX.OP7	AB.EX.OP8	AB.EX.OP9	AB.Speaker	AB.SPEAKER.ATT	AB.FRIEND	AB.ATT.SUM	AB.PAIN.IN	AB.PAIN.EX	AB.TREAT.SUM	AB.QUOTE	AB.QUOTE.AGR	AB.Condition	AB.QUOTE.POL	AB.DIR	AB.Order
IntegerID of respondent	Gender of participant	Age of participant	State of residence in the US as a 2-letter postal code	Education of the participant	"Condition group of the participant. Order of conditions for all groups:
 like / disagree | dislike / agree | dislike / disagree | expert / disagree
Question 4/6: "Things I do have no effect on the quality of the environment"	"Full opinion questionnaire on climate change after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/6: "It is a waste of time to work to solve environmental problems"	"Full opinion questionnaire on climate change after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 6/6: "There is not much I can do that will help solve environmental problems"	Name of celebrity or expert speaker for the quotation on climate change	Attitude towards the speaker of the quotation on climate change (from the qualification survey)	"Potential of friendship with the celebrity speaker of the quotation on climate change:
"If you knew <SPEAKER> personally, do you think you would be friends?"
NA values correspond to quotations with an expert speaker"	"Summary of the participant's attitude towards the the celebrity speaker of the quotation on climate change:
"Please summarize your attitude towards <SPEAKER> and the reasons for your attitude"
NA values correspond to quotations with an expert speaker"	"Perceived pain level of the speaker for the quotation on climate change (before treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Perceived pain level of the speaker for the quotation on climate change (after treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Participant's summary of the speaker opinion on climate change:
"Please summarize <SPEAKER>'s position on climate change, and describe how clear and convincing you find the argument"	Text of the quotation on climate change that was shown to the participant	"Participant's agreement with the quotation on climate change
The scale ranges from (1) "disagree strongly" to (7) "agree strongly"	Assigned experimental condition for the topic of climate change	"Polarity of the quotation on climate change that was shown to the participant
Corresponds to the condensed opinion:
LOW (1): "Climate change is a serious threat that all of us need to address"
HIGH (7): "The risks of climate change are vastly exaggerated"	"Relative direction of the quotation on climate change to the participant's prior condensed opinion:
1: Quotation polarity is greater than participant's opinion score (or they are both max)
-1: Quotation polarity is less than participant's opinion score (or they are both min)"	"Order in which the treatment on climate change was shown to the participant:
This topic was shown as then n-th topic (n = 1,2,3,4)"	"Prior condensed opinion on vaccination (from the qualification survey)
LOW (1): "Vaccines are not harmful, they save lives and protect the community"
HIGH (7): "Many vaccines have serious side effects and can cause severe illness"	"Condensed opinion on vaccination (before treatment)
LOW (1): "Vaccines are not harmful, they save lives and protect the community"
HIGH (7): "Many vaccines have serious side effects and can cause severe illness"	"Condensed opinion on vaccination (after treatment)
LOW (1): "Vaccines are not harmful, they save lives and protect the community"
HIGH (7): "Many vaccines have serious side effects and can cause severe illness"	Summary of participant's opinion on vaccination (before treatment)	Summary of participant's opinion on vaccination (after treatment)	"Full opinion questionnaire on vaccination before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/8: "Media allegations about the connection between vaccines with chronic diseases, such as autism and multiple sclerosis, have led me to doubt about vaccination as a safe method."	"Full opinion questionnaire on vaccination before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/8: "Vaccines contain substances that have been proven harmful to children�s health."	"Full opinion questionnaire on vaccination before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/8: "The state has no right to impose the obligation of vaccination of children, but parents should be the ones who bring the decision."	"Full opinion questionnaire on vaccination before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 4/8: "There is not enough evidence that immunization prevents the occurrence of infectious diseases."	"Full opinion questionnaire on vaccination before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/8: "Pharmaceutical companies promote vaccination of children for profit, although they are aware of the fact that it is harmful."	"Full opinion questionnaire on vaccination before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 6/8: "I would vaccinate my child in a prescribed program of immunization."	"Full opinion questionnaire on vaccination before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 7/8: "I would advise friends to vaccinate their child in a prescribed program of immunization."	"Full opinion questionnaire on vaccination before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 8/8: "If vaccines against HIV and hepatitis C were available, I would definitely be vaccinated."	"Full opinion questionnaire on vaccination after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/8: "Media allegations about the connection between vaccines with chronic diseases, such as autism and multiple sclerosis, have led me to doubt about vaccination as a safe method."	"Full opinion questionnaire on vaccination after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/8: "Vaccines contain substances that have been proven harmful to children�s health."	"Full opinion questionnaire on vaccination after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/8: "The state has no right to impose the obligation of vaccination of children, but parents should be the ones who bring the decision."	"Full opinion questionnaire on vaccination after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 4/8: "There is not enough evidence that immunization prevents the occurrence of infectious diseases."	"Full opinion questionnaire on vaccination after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/8: "Pharmaceutical companies promote vaccination of children for profit, although they are aware of the fact that it is harmful."	"Full opinion questionnaire on vaccination after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 6/8: "I would vaccinate my child in a prescribed program of immunization."	"Full opinion questionnaire on vaccination after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 7/8: "I would advise friends to vaccinate their child in a prescribed program of immunization."	"Full opinion questionnaire on vaccination after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 8/8: "If vaccines against HIV and hepatitis C were available, I would definitely be vaccinated."	Name of celebrity or expert speaker for the quotation on vaccination	Attitude towards the speaker of the quotation on vaccination (from the qualification survey)	"Potential of friendship with the celebrity speaker of the quotation on vaccination:
"If you knew <SPEAKER> personally, do you think you would be friends?"
NA values correspond to quotations with an expert speaker"	"Summary of the participant's attitude towards the the celebrity speaker of the quotation on vaccination:
"Please summarize your attitude towards <SPEAKER> and the reasons for your attitude"
NA values correspond to quotations with an expert speaker"	"Perceived pain level of the speaker for the quotation on vaccination (before treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Perceived pain level of the speaker for the quotation on vaccination (after treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Participant's summary of the speaker opinion on vaccination:
"Please summarize <SPEAKER>'s position on vaccination, and describe how clear and convincing you find the argument"	Text of the quotation on vaccination that was shown to the participant	"Participant's agreement with the quotation on vaccination
The scale ranges from (1) "disagree strongly" to (7) "agree strongly"	Assigned experimental condition for the topic of vaccination	"Polarity of the quotation on vaccination that was shown to the participant
Corresponds to the condensed opinion:
LOW (1): "Vaccines are not harmful, they save lives and protect the community"
HIGH (7): "Many vaccines have serious side effects and can cause severe illness"	"Relative direction of the quotation on vaccination to the participant's prior condensed opinion:
1: Quotation polarity is greater than participant's opinion score (or they are both max)
-1: Quotation polarity is less than participant's opinion score (or they are both min)"	"Order in which the treatment on vaccination was shown to the participant:
This topic was shown as then n-th topic (n = 1,2,3,4)"	"Prior condensed opinion on immigration (from the qualification survey)
LOW (1): "Immigrants are good for our economy and immigration benefits all of us"
HIGH (7): "Immigrants take jobs away from Americans and undermine our culture"	"Condensed opinion on immigration (before treatment)
LOW (1): "Immigrants are good for our economy and immigration benefits all of us"
HIGH (7): "Immigrants take jobs away from Americans and undermine our culture"	"Condensed opinion on immigration (after treatment)
LOW (1): "Immigrants are good for our economy and immigration benefits all of us"
HIGH (7): "Immigrants take jobs away from Americans and undermine our culture"	Summary of participant's opinion on immigration (before treatment)	Summary of participant's opinion on immigration (after treatment)	"Full opinion questionnaire on immigration before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/5: "Immigrants take jobs away"	"Full opinion questionnaire on immigration before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/5: "Immigrants undermine American culture"	"Full opinion questionnaire on immigration before treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/5: "Immigrants increase crime rates"	"Full opinion questionnaire on immigration before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 4/5: "Immigrants are good for America�s economy"	"Full opinion questionnaire on immigration before treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/5: "Immigrants make America more open to new ideas"	"Full opinion questionnaire on immigration after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 1/5: "Immigrants take jobs away"	"Full opinion questionnaire on immigration after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 2/5: "Immigrants undermine American culture"	"Full opinion questionnaire on immigration after treatment:
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 3/5: "Immigrants increase crime rates"	"Full opinion questionnaire on immigration after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 4/5: "Immigrants are good for America�s economy"	"Full opinion questionnaire on immigration after treatment (REVERSED):
Scale from (1) "disagree strongly" to (5) "agree strongly"
Question 5/5: "Immigrants make America more open to new ideas"	Name of celebrity or expert speaker for the quotation on immigration	Attitude towards the speaker of the quotation on immigration (from the qualification survey)	"Potential of friendship with the celebrity speaker of the quotation on immigration:
"If you knew <SPEAKER> personally, do you think you would be friends?"
NA values correspond to quotations with an expert speaker"	"Summary of the participant's attitude towards the the celebrity speaker of the quotation on immigration:
"Please summarize your attitude towards <SPEAKER> and the reasons for your attitude"
NA values correspond to quotations with an expert speaker"	"Perceived pain level of the speaker for the quotation on immigration (before treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Perceived pain level of the speaker for the quotation on immigration (after treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Participant's summary of the speaker opinion on immigration:
"Please summarize <SPEAKER>'s position on immigration, and describe how clear and convincing you find the argument"	Text of the quotation on immigration that was shown to the participant	"Participant's agreement with the quotation on immigration
The scale ranges from (1) "disagree strongly" to (7) "agree strongly"	Assigned experimental condition for the topic of immigration	"Polarity of the quotation on immigration that was shown to the participant
Corresponds to the condensed opinion:
LOW (1): "Immigrants are good for our economy and immigration benefits all of us"
HIGH (7): "Immigrants take jobs away from Americans and undermine our culture"	"Relative direction of the quotation on immigration to the participant's prior condensed opinion:
1: Quotation polarity is greater than participant's opinion score (or they are both max)
-1: Quotation polarity is less than participant's opinion score (or they are both min)"	"Order in which the treatment on immigration was shown to the participant:
This topic was shown as then n-th topic (n = 1,2,3,4)"	"Prior condensed opinion on abortion (from the qualification survey)
LOW (1): "Abortion should be allowed and should be the choice of prospective parents alone"
HIGH (7): "Abortions should not be allowed for anyone under any circumstances"	"Condensed opinion on abortion (before treatment)
LOW (1): "Abortion should be allowed and should be the choice of prospective parents alone"
HIGH (7): "Abortions should not be allowed for anyone under any circumstances"	"Condensed opinion on abortion (after treatment)
LOW (1): "Abortion should be allowed and should be the choice of prospective parents alone"
HIGH (7): "Abortions should not be allowed for anyone under any circumstances"	Summary of participant's opinion on abortion (before treatment)	Summary of participant's opinion on abortion (after treatment)	"Full opinion questionnaire on abortion before treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 1/9: "Abortion is not acceptable under any circumstances"	"Full opinion questionnaire on abortion before treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 2/9: "Abortion is acceptable if the mother's health is endangered"	"Full opinion questionnaire on abortion before treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 3/9: "If a woman finds out her baby will be born with a defect, she has the right to abort the child"	"Full opinion questionnaire on abortion before treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 4/9: "The human fetus is a living being and therefore should be protected by law"	"Full opinion questionnaire on abortion before treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 5/9: "Abortion is murder"	"Full opinion questionnaire on abortion before treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 6/9: "A woman has a right to choose to have an abortion"	"Full opinion questionnaire on abortion before treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 7/9: "I believe abortion goes against all morals"	"Full opinion questionnaire on abortion before treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 8/9: "It is better to have the baby and put it up for adoption than an abortion"	"Full opinion questionnaire on abortion before treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 9/9: "Depending on the circumstances of conception, a female has the right to determine the best course for the life of her fetus"	"Full opinion questionnaire on abortion after treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 1/9: "Abortion is not acceptable under any circumstances"	"Full opinion questionnaire on abortion after treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 2/9: "Abortion is acceptable if the mother's health is endangered"	"Full opinion questionnaire on abortion after treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 3/9: "If a woman finds out her baby will be born with a defect, she has the right to abort the child"	"Full opinion questionnaire on abortion after treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 4/9: "The human fetus is a living being and therefore should be protected by law"	"Full opinion questionnaire on abortion after treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 5/9: "Abortion is murder"	"Full opinion questionnaire on abortion after treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 6/9: "A woman has a right to choose to have an abortion"	"Full opinion questionnaire on abortion after treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 7/9: "I believe abortion goes against all morals"	"Full opinion questionnaire on abortion after treatment:
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 8/9: "It is better to have the baby and put it up for adoption than an abortion"	"Full opinion questionnaire on abortion after treatment (REVERSED):
Scale from (1) "disagree strongly" to (4) "agree strongly"
Question 9/9: "Depending on the circumstances of conception, a female has the right to determine the best course for the life of her fetus"	Name of celebrity or expert speaker for the quotation on abortion	Attitude towards the speaker of the quotation on abortion (from the qualification survey)	"Potential of friendship with the celebrity speaker of the quotation on abortion:
"If you knew <SPEAKER> personally, do you think you would be friends?"
NA values correspond to quotations with an expert speaker"	"Summary of the participant's attitude towards the the celebrity speaker of the quotation on abortion:
"Please summarize your attitude towards <SPEAKER> and the reasons for your attitude"
NA values correspond to quotations with an expert speaker"	"Perceived pain level of the speaker for the quotation on abortion (before treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Perceived pain level of the speaker for the quotation on abortion (after treatment):
Scale ranges from (1) "no pain" to (7) "lots of pain"
"How much pain do you think <SPEAKER> is experiencing here?"	"Participant's summary of the speaker opinion on abortion:
"Please summarize <SPEAKER>'s position on abortion, and describe how clear and convincing you find the argument"	Text of the quotation on abortion that was shown to the participant	"Participant's agreement with the quotation on abortion
The scale ranges from (1) "disagree strongly" to (7) "agree strongly"	Assigned experimental condition for the topic of abortion	"Polarity of the quotation on abortion that was shown to the participant
Corresponds to the condensed opinion:
LOW (1): "Abortion should be allowed and should be the choice of prospective parents alone"
HIGH (7): "Abortions should not be allowed for anyone under any circumstances"	"Relative direction of the quotation on abortion to the participant's prior condensed opinion:
1: Quotation polarity is greater than participant's opinion score (or they are both max)
-1: Quotation polarity is less than participant's opinion score (or they are both min)"	"Order in which the treatment on abortion was shown to the participant:
This topic was shown as then n-th topic (n = 1,2,3,4)"
